,,,TRIPWIRE FUNNEL DATA (Note: This is from data the week BEFORE the masterclass),,,,,,,,,,,,,,,,,MASTERCLASS REGISTRATION DATA,,,MASTERCLASS DATA,,,,,,,,,,,,,MASTERCLASS REVENUE & PROFITS - LIVE,,,,,TOTALS - UP TO MC,,,FOLLOW-UP CART CLOSES,,,,,,,FINAL TOTALS - ALL,,,,,,,,,,,,,,,,,,,,,,,CAC & LTV Based on TW Purchases Being The Acquisition,,,,,
How to Measure,,,Hyros,,,Data Here,,,,,,,,,,,—,—,,Contacts Tagged with this week's tag,—,Sheet,—,,—,Sheet and Recording,—,Sheet,—,—,GHL Orders,—,,,,GHL Orders,GHL Orders,—,—,—,—,—,—,GHL Orders,,GHL Orders,GHL Orders,GHL Orders,,,—,—,—,,,,—,—,—,—,—,—,,,,,,,—,,,,—,,,,,,—
Data explanation,,,,,,,Ppl who opted into 2-step order form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Webinar,Webinar Version,Ad Spend,Week of TW Funnel,"Page Views
(Unique)","# TW Optins
(The week before MC)",TW Optin Rate,FB Optin Rate,# TW Orders (Conversions),Optin Conv Rate,TOTAL Conv Rate (Unique),Tot Revenue,Avg. Cart Value,Earnings/Unique Page View,Bump Orders,"Bump Conv Rate 
(from buyers)","ROAS so far
Including Fulfillment Cost",CPL,Cost Per Buyer,# Registrations,Registration Rate (of TW Buyers),# Show-Up,"Show Up Rate
(of Registr.)","Show Up Rate
(ALL TW Buyers)",Cost per Showup,# on for close transition,"% on 
during close",# on during price reveal,% on price reveal,TOTAL % on price reveal,# Converted LIVE,% Converted of Transition,% Conv of SHOWUP,% Conv of Registrants,% Conv of TW Buyers,Cash Collected,Total Contract Value (TCV),"TOTAL COSTS
(ad+fullfillment)","P/L Cash
(MC Only)","P/L w TCV
(MC Only)","TOTAL REVENUE
(incl funnel)","TOTAL P/L
(ALL incl funnel)","ROAS
(Not incl follow-up)",FOLLOW UP Conversions?,% Follow Up Sales of LIVE Sales,Email Seq vs Marko Sales,Cash Collected,Total Contract Value (TCV),Cost per TW Buyer,Ad Costs,"TOTAL COSTS
(ad+fullfillment)","TOTAL REVENUE
ALL","TOTAL P/L
ALL",Profitability,Total Registered,Total Showed,"TOTAL L2 Conv
ALL","Conv Rate
Who saw close",% Conv of SHOWUP,% Conv of Registrants,% Conv of TW Buyers,"Conv Rate
Attended","CAC
(Goal: <1/4 LTV)","30-Day LTV
(Goal: >4 CAC)",GPLTV,30-Day LTV/TW Buyer,"LTV:CAC
(Goal: >4)","GPLTV:CAC
(Goal: >3)",ROAS,,,,,"TW CAC
(Goal: <1/4 LTV)","30-Day LTV
(Goal: >4 CAC)",GPLTV,"LTV:CAC
(Goal: >4)","GPLTV:CAC
(Goal: >3)",ROAS
07/31/25,Masterclass,,"$2,054.00",Jul 1 - Jul 23,1537,426,27.72%,,152,35.68%,9.89%,"$1,276.45",$8.40,$1.96,11,7.24%,0.51, $ 4.82 , $ 13.51 ,21,13.82%,17,80.95%,11.18%, $ 120.82 ,17,X,14,X,X,7,41.18%,41.18%,33.33%,4.61%," $ 3,232.00 "," $ 3,482.00 "," $ (2,626.69)", $ 605.31 , $ 855.31 ," $ 4,758.45 "," $ 2,131.76 ",2.32,0,,,,, $ 13.51 ," $ (2,054.00)"," $ (2,626.69)"," $ 4,758.45 "," $ 2,131.76 ",44.80%,21,17,7,41.18%,41.18%,33.33%,4.61%,41.18%, $ 293.43 , $ 679.78 , $ 304.54 , $ 31.31 ,2.32,1.04,2.32,,,,, $ 13.51 , $ 31.31 , $ 14.02 ,2.32,1.04,2.32
08/07/25,Masterclass,,$698.19,Jul 24 - Jul 30,558,136,24.37%,,33,24.26%,5.98%,$328.35,$10.04,$1.62,3,9.09%,0.41, $ 5.13 , $ 21.16 ,15,45.45%,11,73.33%,33.33%, $ 63.47 ,10,90.91%,9,90.00%,60.00%,2,20.00%,18.18%,13.33%,6.06%, $ 994.00 , $ 994.00 , $ (830.53), $ 163.47 , $ 163.47 ," $ 1,322.35 ", $ 491.82 ,1.89,0,,,,, $ 21.16 , $ (698.19), $ (830.53)," $ 1,322.35 ", $ 491.82 ,37.19%,15,11,2,20.00%,18.18%,13.33%,6.06%,18.18%, $ 349.10 , $ 661.18 , $ 245.91 , $ 40.07 ,1.89,0.70,1.89,,,,, $ 21.16 , $ 40.07 , $ 14.90 ,1.89,0.70,1.89
08/28/25,Masterclass,,"$2,986.35",July 31 - Aug 20,2474,642,25.95%,,172,26.79%,6.95%,"$1,762.40",$10.25,$0.71,21,12.21%,0.50, $ 4.65 , $ 17.36 ,32,18.60%,26,81.25%,15.12%, $ 114.86 ,20,76.92%,19,95.00%,59.38%,5,25.00%,19.23%,15.63%,2.91%," $ 1,991.00 "," $ 2,491.00 "," $ (3,635.71)"," $ (1,644.71)"," $ (1,144.71)"," $ 4,253.40 ", $ 617.69 ,1.42,3,60.00%,"1x Sales - Josh
2x Emails", $ 847.00 ," $ 1,497.00 ", $ 17.36 ," $ (2,986.35)"," $ (3,635.71)"," $ 5,750.40 "," $ 2,114.69 ",36.77%,32,26,8,40.00%,30.77%,25.00%,4.65%,30.77%, $ 373.29 , $ 718.80 , $ 264.34 , $ 33.43 ,1.93,0.71,1.93,,,,, $ 17.36 , $ 33.43 , $ 12.29 ,1.93,0.71,1.93
,My Ads,,$689.66,July 31 - Aug 20,1859,550,29.59%,,136,24.73%,7.32%,"$1,495.20",$10.99,$0.80,20,14.71%,1.36, $ 1.25 , $ 5.07 ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $ 5.07 , $ -   , $ -   ,0.00,0.00,0.00
,Root,,$0.00,July 31 - Aug 20,195,15,7.69%,,3,20.00%,1.54%,$37.85,$12.62,$0.19,1,33.33%,4.21, $ -   , $ -   ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $ -   , $ -   , $ -   ,-,-,-
,WOJO,,$133.25,July 31 - Aug 20,420,77,18.33%,,33,42.86%,7.86%,$229.35,$6.95,$0.55,0,0.00%,0.99, $ 1.73 , $ 4.04 ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $ 4.04 , $ -   , $ -   ,0.00,0.00,0.00
x,x,,"$1,038.41",Jul 31 - Aug 06,,223,27.50%,,48,21.52%,5.92%,$522.60,$10.89,$1.24,6,12.50%,0.44, $ 4.66 , $ 21.63 ,4,8.33%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,x,,,,,,,,,,,,,,,,,, $ 21.63 , $ -   , $ -   ,0.00,0.00,0.00
x,x,,"$1,040.62",Aug 07 - Aug 13,,182,27.83%,,47,25.82%,7.19%,$517.65,$11.01,$1.57,7,14.89%,0.44, $ 5.72 , $ 22.14 ,10,21.28%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,x,,,,,,,,,,,,,,,,,, $ 22.14 , $ -   , $ -   ,0.00,0.00,0.00
x,x,,$907.32,Aug 14 - Aug 20,,145,29.84%,,41,28.28%,8.44%,$454.95,$11.10,$1.87,7,17.07%,0.44, $ 6.26 , $ 22.13 ,18,43.90%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,x,,,,,,,,,,,,,,,,,, $ 22.13 , $ -   , $ -   ,0.00,0.00,0.00
09/04/25,Masterclass,,$822.91,Aug 21 - Aug 27,798,150,18.80%,,33,22.00%,4.14%,$301.35,$9.13,$0.38,3,9.09%,0.33, $ 5.49 , $ 24.94 ,12,36.36%,8,66.67%,24.24%, $ 102.86 ,8,100.00%,7,87.50%,58.33%,4,50.00%,50.00%,33.33%,12.12%," $ 1,988.00 "," $ 1,988.00 "," $ (1,005.26)", $ 982.74 , $ 982.74 ," $ 2,289.35 "," $ 1,284.09 ",2.78,1,25.00%,1x Sales - Josh, $ 250.00 , $ 500.00 , $ 24.94 , $ (822.91)," $ (1,005.26)"," $ 2,789.35 "," $ 1,784.09 ",63.96%,12,8,5,62.50%,62.50%,41.67%,15.15%,62.50%, $ 164.58 , $ 557.87 , $ 356.82 , $ 84.53 ,3.39,2.17,3.39,,,,, $ 24.94 , $ 84.53 , $ 54.06 ,3.39,2.17,3.39
,My Ads,,$689.66,Aug 21 - Aug 27,468,107,22.86%,,23,21.50%,4.91%,$214.85,$9.34,$0.46,2,8.70%,0.28, $ 6.45 , $ 29.99 ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,, $ 29.99 ,,,,,,,,,,,,,,,,,,,,,,,,, $ 29.99 , $ -   , $ -   ,0.00,0.00,0.00
,Root,,$0.00,Aug 21 - Aug 27,49,6,12.24%,,1,16.67%,2.04%,$23.95,$23.95,$0.49,1,100.00%,7.98, $ -   , $ -   ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $ -   , $ -   , $ -   ,-,-,-
,WOJO,,$133.25,Aug 21 - Aug 27,281,37,13.17%,,9,24.32%,3.20%,$62.55,$6.95,$0.22,0,0.00%,0.39, $ 3.60 , $ 14.81 ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,, $ 14.81 ,,,,,,,,,,,,,,,,,,,,,,,,, $ 14.81 , $ -   , $ -   ,0.00,0.00,0.00
09/11/25,Masterclass,,"$1,098.89",Aug 28 - Sep 03,1335,327,24.49%,,133,40.67%,9.96%,"$1,753.35",$13.18,$1.31,23,17.29%,1.17, $ 3.36 , $ 8.26 ,24,18.05%,17,70.83%,12.78%, $ 64.64 ,16,94.12%,15,93.75%,62.50%,5,31.25%,29.41%,20.83%,3.76%," $ 2,485.00 "," $ 2,485.00 "," $ (1,647.92)", $ 837.08 , $ 837.08 ," $ 4,238.35 "," $ 2,590.43 ",3.86,4,80.00%,4x Emails ," $ 1,494.00 "," $ 1,994.00 ", $ 8.26 ," $ (1,098.89)"," $ (1,647.92)"," $ 6,232.35 "," $ 4,584.43 ",73.56%,24,17,9,56.25%,52.94%,37.50%,6.77%,52.94%, $ 122.10 , $ 692.48 , $ 509.38 , $ 46.86 ,5.67,4.17,5.67,,,,, $ 8.26 , $ 46.86 , $ 34.47 ,5.67,4.17,5.67
,Masterclass,,$836.28,Aug 28 - Sep 04,551,90,16.33%,,22,24.44%,3.99%,$329.60,$14.98,$0.60,3,13.64%,0.37, $ 9.29 , $ 38.01 ,,0.00%,,-,0.00%, $ -   ,,,,,,2,,,,,,,,,,,,,,,,,, $ 38.01 ,,,,,,,,,,,,,,,,,,,,,,,,, $ 38.01 , $ -   , $ -   ,0.00,0.00,0.00
,Masterclass,,,Aug 28 - Sep 05,400,200,50.00%,,101,50.50%,25.25%,"$1,348.25",$13.35,$3.37,20,19.80%,4.45, $ -   , $ -   ,,0.00%,,-,0.00%, $ -   ,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $ -   , $ -   , $ -   ,-,-,-
,Masterclass,,$262.61,Aug 28 - Sep 06,384,37,9.64%,,10,27.03%,2.60%,$75.50,$7.55,$0.20,0,0.00%,0.26, $ 7.10 , $ 26.26 ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,, $ 26.26 ,,,,,,,,,,,,,,,,,,,,,,,,, $ 26.26 , $ -   , $ -   ,0.00,0.00,0.00
09/18/25,Masterclass,,"$2,502.41",Sep 04 - Sep 10,1904,404,21.22%,,125,30.94%,6.57%,"$1,775.90",$14.21,$0.88,13,10.40%,0.62, $ 6.19 , $ 20.02 ,81,64.80%,72,88.89%,57.60%, $ 34.76 ,68,94.44%,63,92.65%,77.78%,20,29.41%,27.78%,24.69%,16.00%," $ 8,211.00 "," $ 9,961.00 "," $ (3,210.81)"," $ 5,000.19 "," $ 6,750.19 "," $ 11,736.90 "," $ 8,526.09 ",4.69,,0.00%,,,, $ 20.02 ," $ (2,502.41)"," $ (3,210.81)"," $ 11,736.90 "," $ 8,526.09 ",72.64%,81,72,20,29.41%,27.78%,24.69%,16.00%,27.78%, $ 125.12 , $ 586.85 , $ 426.30 , $ 93.90 ,4.69,3.41,4.69,,,,, $ 20.02 , $ 93.90 , $ 68.21 ,4.69,3.41,4.69
,My Ads,,,Sep 04 - Sep 10,1886,243,12.88%,,64,26.34%,3.39%,$857.80,$13.40,$0.45,,0.00%,4.47, $ -   , $ -   ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,, $ -   , $ -   , $ -   ,-,-,-
,Root,,,Sep 04 - Sep 10,,161,-,,61,37.89%,-,$918.10,$15.05,$0.00,,0.00%,5.02, $ -   , $ -   ,,0.00%,,-,0.00%, $ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $ -   , $ -   , $ -   ,-,-,-
,WOJO,,,Sep 04 - Sep 10,18,0,0.00%,,0,-,0.00%,$0.00,$0.00,$0.00,0,-,-, $ -   , $ -   ,,-,,-,-, $ -   ,,,,,,,,,,,,,,,,,,,,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,, - , - , - ,-,-,-
