Date,Clicks,Impressions,CTR,Position
2025-09-15,20,115,17.39%,4.65
2025-09-14,9,83,10.84%,6.06
2025-09-13,8,75,10.67%,6.2
2025-09-12,9,100,9%,7.11
2025-09-11,9,74,12.16%,6.31
2025-09-10,5,84,5.95%,5.23
2025-09-09,13,90,14.44%,5
2025-09-08,15,113,13.27%,5.24
2025-09-07,11,143,7.69%,6.58
2025-09-06,12,95,12.63%,6.45
2025-09-05,12,86,13.95%,6.31
2025-09-04,10,99,10.1%,4.31
2025-09-03,15,108,13.89%,6.55
2025-09-02,13,116,11.21%,3.3
2025-09-01,12,102,11.76%,8.76
2025-08-31,8,74,10.81%,12.22
2025-08-30,17,156,10.9%,7.91
2025-08-29,9,92,9.78%,9.53
2025-08-28,13,90,14.44%,7.36
2025-08-27,11,101,10.89%,7.87
2025-08-26,9,62,14.52%,8.71
2025-08-25,11,123,8.94%,5.17
2025-08-24,9,103,8.74%,4.61
2025-08-23,14,104,13.46%,8.98
2025-08-22,7,98,7.14%,5.95
2025-08-21,16,84,19.05%,7.42
2025-08-20,16,146,10.96%,7.03
2025-08-19,9,108,8.33%,6.36
2025-08-18,14,81,17.28%,7.72
2025-08-17,13,87,14.94%,15.53
2025-08-16,8,87,9.2%,15.29
2025-08-15,11,102,10.78%,6.29
2025-08-14,4,68,5.88%,9.31
2025-08-13,12,92,13.04%,3.36
2025-08-12,10,102,9.8%,3.54
2025-08-11,19,107,17.76%,3.63
2025-08-10,7,67,10.45%,3.57
2025-08-09,8,95,8.42%,4.84
2025-08-08,8,75,10.67%,4.45
2025-08-07,8,90,8.89%,5.42
2025-08-06,15,101,14.85%,4.31
2025-08-05,11,118,9.32%,4.55
2025-08-04,9,108,8.33%,6.19
2025-08-03,5,82,6.1%,8.52
2025-08-02,10,115,8.7%,3.98
2025-08-01,10,140,7.14%,6.06
2025-07-31,20,110,18.18%,4.3
2025-07-30,17,108,15.74%,4.65
2025-07-29,11,135,8.15%,5.42
2025-07-28,16,160,10%,4.42
2025-07-27,16,118,13.56%,6.75
2025-07-26,16,96,16.67%,6.33
2025-07-25,15,125,12%,3.37
2025-07-24,13,127,10.24%,5.05
2025-07-23,7,102,6.86%,6.47
2025-07-22,14,103,13.59%,6.53
2025-07-21,10,82,12.2%,8.51
2025-07-20,9,92,9.78%,4.01
2025-07-19,9,107,8.41%,3.92
2025-07-18,5,71,7.04%,4.79
2025-07-17,6,97,6.19%,6.15
2025-07-16,16,210,7.62%,4.57
2025-07-15,20,135,14.81%,5.02
2025-07-14,7,96,7.29%,5.45
2025-07-13,12,81,14.81%,5.46
2025-07-12,11,95,11.58%,4.62
2025-07-11,9,97,9.28%,6.75
2025-07-10,22,117,18.8%,6.21
2025-07-09,19,119,15.97%,7.69
2025-07-08,8,122,6.56%,4.73
2025-07-07,11,91,12.09%,11.23
2025-07-06,8,81,9.88%,4.68
2025-07-05,8,67,11.94%,4.7
2025-07-04,5,68,7.35%,6.19
2025-07-03,6,72,8.33%,4.01
2025-07-02,14,96,14.58%,4.42
2025-07-01,13,116,11.21%,5.41
2025-06-30,5,105,4.76%,5.3
2025-06-29,7,85,8.24%,6.33
2025-06-28,3,71,4.23%,4.85
2025-06-27,11,113,9.73%,5.42
2025-06-26,17,174,9.77%,4.13
2025-06-25,9,143,6.29%,4.51
2025-06-24,18,109,16.51%,6.06
2025-06-23,12,108,11.11%,4.44
2025-06-22,10,112,8.93%,4.89
2025-06-21,4,70,5.71%,4.07
2025-06-20,13,101,12.87%,5.94
2025-06-19,11,118,9.32%,3.42
2025-06-18,23,160,14.37%,6.06
2025-06-17,8,141,5.67%,3.26
2025-06-16,7,129,5.43%,4.05
2025-06-15,5,73,6.85%,7.93
2025-06-14,6,79,7.59%,4.15
2025-06-13,13,101,12.87%,4.86
2025-06-12,13,71,18.31%,5.54
2025-06-11,12,85,14.12%,8.28
2025-06-10,20,120,16.67%,5.22
2025-06-09,14,97,14.43%,7.52
2025-06-08,8,82,9.76%,7.1
2025-06-07,7,89,7.87%,4.64
2025-06-06,13,79,16.46%,4.61
2025-06-05,7,69,10.14%,6.77
2025-06-04,23,94,24.47%,5.15
2025-06-03,15,98,15.31%,3.81
2025-06-02,8,89,8.99%,6
2025-06-01,16,77,20.78%,4.22
2025-05-31,8,59,13.56%,7.78
2025-05-30,12,77,15.58%,5.49
2025-05-29,22,114,19.3%,4.65
2025-05-28,8,130,6.15%,3.3
2025-05-27,10,85,11.76%,2.94
2025-05-26,12,108,11.11%,4.76
2025-05-25,6,121,4.96%,4.88
2025-05-24,15,82,18.29%,6.21
2025-05-23,3,52,5.77%,7.38
2025-05-22,9,71,12.68%,4.06
2025-05-21,13,107,12.15%,5.74
2025-05-20,13,98,13.27%,6.39
2025-05-19,9,68,13.24%,6.04
2025-05-18,12,74,16.22%,8.47
2025-05-17,11,100,11%,3.29
2025-05-16,7,57,12.28%,3.61
2025-05-15,7,59,11.86%,5.1
2025-05-14,9,61,14.75%,3.75
2025-05-13,10,66,15.15%,5.39
2025-05-12,11,70,15.71%,5.5
2025-05-11,9,84,10.71%,3.4
2025-05-10,10,62,16.13%,3.55
2025-05-09,7,93,7.53%,3.15
2025-05-08,2,48,4.17%,16.27
2025-05-07,11,80,13.75%,6
2025-05-06,7,96,7.29%,4.07
2025-05-05,8,53,15.09%,5.6
2025-05-04,8,63,12.7%,2.49
2025-05-03,8,67,11.94%,4.04
2025-05-02,4,50,8%,4
2025-05-01,16,80,20%,4.69
2025-04-30,12,88,13.64%,3.26
2025-04-29,14,67,20.9%,2.94
2025-04-28,16,72,22.22%,4.18
2025-04-27,10,60,16.67%,3.63
2025-04-26,13,80,16.25%,4.33
2025-04-25,10,86,11.63%,5.07
2025-04-24,8,90,8.89%,13.94
2025-04-23,8,84,9.52%,15.69
2025-04-22,10,81,12.35%,4.98
2025-04-21,12,73,16.44%,4.16
2025-04-20,5,41,12.2%,5.41
2025-04-19,12,92,13.04%,2.42
2025-04-18,10,72,13.89%,3.01
2025-04-17,11,69,15.94%,3.22
2025-04-16,9,63,14.29%,2.84
2025-04-15,11,65,16.92%,4.71
2025-04-14,6,76,7.89%,3.32
2025-04-13,10,52,19.23%,2.6
2025-04-12,10,47,21.28%,8.94
2025-04-11,9,67,13.43%,3.07
2025-04-10,9,61,14.75%,5.08
2025-04-09,8,76,10.53%,2.92
2025-04-08,13,80,16.25%,3.08
2025-04-07,12,65,18.46%,4.45
2025-04-06,6,35,17.14%,6.86
2025-04-05,5,42,11.9%,1.64
2025-04-04,10,52,19.23%,4.83
2025-04-03,9,50,18%,2.64
2025-04-02,12,68,17.65%,3.43
2025-04-01,11,53,20.75%,3
2025-03-31,14,61,22.95%,3.59
2025-03-30,11,64,17.19%,4.97
2025-03-29,11,50,22%,2.46
2025-03-28,10,58,17.24%,5.5
2025-03-27,11,66,16.67%,2.85
2025-03-26,9,82,10.98%,4.99
2025-03-25,10,72,13.89%,2.57
2025-03-24,11,83,13.25%,3.53
2025-03-23,4,53,7.55%,3.09
2025-03-22,9,68,13.24%,3.04
2025-03-21,15,77,19.48%,3.78
2025-03-20,9,62,14.52%,4.13
2025-03-19,9,80,11.25%,3.62
2025-03-18,12,88,13.64%,2.74
2025-03-17,8,43,18.6%,3.44
2025-03-16,6,36,16.67%,3.03
2025-03-15,10,49,20.41%,5.43
2025-03-14,7,81,8.64%,3.79
2025-03-13,14,83,16.87%,3.78
2025-03-12,6,59,10.17%,2.63
2025-03-11,13,74,17.57%,3.23
2025-03-10,12,61,19.67%,5
2025-03-09,5,79,6.33%,3.3
2025-03-08,7,50,14%,3.06
2025-03-07,4,72,5.56%,3.01
2025-03-06,7,74,9.46%,2.96
2025-03-05,15,67,22.39%,2.75
2025-03-04,8,80,10%,3.2
2025-03-03,10,104,9.62%,1.76
2025-03-02,10,76,13.16%,3.67
2025-03-01,10,94,10.64%,5.56
2025-02-28,9,69,13.04%,2.86
2025-02-27,9,83,10.84%,2.8
2025-02-26,11,102,10.78%,2.42
2025-02-25,21,125,16.8%,2.54
2025-02-24,14,65,21.54%,3.52
2025-02-23,10,64,15.62%,3.72
2025-02-22,8,52,15.38%,3.6
2025-02-21,22,96,22.92%,3.39
2025-02-20,10,64,15.62%,3.42
2025-02-19,18,91,19.78%,6.37
2025-02-18,16,90,17.78%,3.18
2025-02-17,8,48,16.67%,3.15
2025-02-16,8,66,12.12%,3.27
2025-02-15,6,64,9.38%,3.42
2025-02-14,7,64,10.94%,3.12
2025-02-13,5,55,9.09%,5
2025-02-12,9,63,14.29%,2.95
2025-02-11,5,67,7.46%,2.94
2025-02-10,15,61,24.59%,3.34
2025-02-09,6,33,18.18%,9.09
2025-02-08,11,60,18.33%,4.1
2025-02-07,8,59,13.56%,2.71
2025-02-06,8,58,13.79%,3.76
2025-02-05,10,66,15.15%,4.35
2025-02-04,6,60,10%,5.13
2025-02-03,13,91,14.29%,3.64
2025-02-02,13,69,18.84%,5.74
2025-02-01,21,95,22.11%,4.47
2025-01-31,5,80,6.25%,3.8
2025-01-30,6,91,6.59%,3.89
2025-01-29,18,70,25.71%,2.83
2025-01-28,9,78,11.54%,3.13
2025-01-27,10,51,19.61%,4.67
2025-01-26,9,59,15.25%,3.76
2025-01-25,5,36,13.89%,4
2025-01-24,7,55,12.73%,5.47
2025-01-23,12,81,14.81%,3.69
2025-01-22,10,73,13.7%,2.1
2025-01-21,14,98,14.29%,3.34
2025-01-20,14,72,19.44%,2.83
2025-01-19,13,71,18.31%,3.23
2025-01-18,9,56,16.07%,2.84
2025-01-17,8,53,15.09%,4.28
2025-01-16,16,79,20.25%,2.48
2025-01-15,13,51,25.49%,2.33
2025-01-14,7,63,11.11%,3.24
2025-01-13,11,58,18.97%,3.12
2025-01-12,6,46,13.04%,3.72
2025-01-11,14,56,25%,2.79
2025-01-10,8,73,10.96%,2.42
2025-01-09,16,86,18.6%,2.72
2025-01-08,19,94,20.21%,4.29
2025-01-07,13,96,13.54%,3.16
2025-01-06,14,102,13.73%,3.41
2025-01-05,8,52,15.38%,2.42
2025-01-04,9,59,15.25%,2.53
2025-01-03,8,69,11.59%,5.26
2025-01-02,8,73,10.96%,2.48
2025-01-01,8,70,11.43%,7.33
2024-12-31,7,66,10.61%,3.48
2024-12-30,12,65,18.46%,5.34
2024-12-29,7,46,15.22%,2.39
2024-12-28,10,73,13.7%,4.53
2024-12-27,13,67,19.4%,4.48
2024-12-26,7,60,11.67%,6.05
2024-12-25,16,75,21.33%,2.93
2024-12-24,9,60,15%,4.02
2024-12-23,6,54,11.11%,3.35
2024-12-22,13,64,20.31%,2.59
2024-12-21,18,81,22.22%,3.25
2024-12-20,7,66,10.61%,4.29
2024-12-19,17,85,20%,2.36
2024-12-18,12,84,14.29%,3.1
2024-12-17,17,89,19.1%,3.71
2024-12-16,14,75,18.67%,2.47
2024-12-15,12,69,17.39%,1.83
2024-12-14,16,79,20.25%,2.43
2024-12-13,22,92,23.91%,3.4
2024-12-12,14,116,12.07%,3.86
2024-12-11,32,118,27.12%,3.59
2024-12-10,21,87,24.14%,3.29
2024-12-09,19,104,18.27%,2.98
2024-12-08,18,92,19.57%,3.6
2024-12-07,19,107,17.76%,3.22
2024-12-06,8,89,8.99%,3.61
2024-12-05,15,93,16.13%,3.24
2024-12-04,32,119,26.89%,3.08
2024-12-03,17,100,17%,2.34
2024-12-02,25,110,22.73%,2.62
2024-12-01,15,71,21.13%,2.52
2024-11-30,12,97,12.37%,4.86
2024-11-29,12,80,15%,2.58
2024-11-28,11,48,22.92%,2.65
2024-11-27,17,78,21.79%,2.35
2024-11-26,18,101,17.82%,3.45
2024-11-25,25,104,24.04%,4.18
2024-11-24,6,60,10%,6.72
2024-11-23,4,46,8.7%,5.09
2024-11-22,19,93,20.43%,4.18
2024-11-21,16,97,16.49%,4.33
2024-11-20,17,83,20.48%,3.05
2024-11-19,15,85,17.65%,5.48
2024-11-18,13,79,16.46%,3.82
2024-11-17,7,62,11.29%,4.69
2024-11-16,21,64,32.81%,2.31
2024-11-15,20,81,24.69%,3.04
2024-11-14,21,109,19.27%,4.67
2024-11-13,15,71,21.13%,3.1
2024-11-12,26,82,31.71%,2.79
2024-11-11,9,61,14.75%,6.92
2024-11-10,5,43,11.63%,5.23
2024-11-09,6,58,10.34%,4.83
2024-11-08,11,45,24.44%,3.93
2024-11-07,8,72,11.11%,3.53
2024-11-06,13,63,20.63%,3.86
2024-11-05,7,64,10.94%,3.25
2024-11-04,16,68,23.53%,4.62
2024-11-03,16,73,21.92%,3.12
2024-11-02,9,37,24.32%,2.92
2024-11-01,7,39,17.95%,3.1
2024-10-31,6,43,13.95%,4.7
2024-10-30,8,73,10.96%,3.45
2024-10-29,10,59,16.95%,4.17
2024-10-28,6,37,16.22%,2.68
2024-10-27,8,58,13.79%,4.21
2024-10-26,6,38,15.79%,2.92
2024-10-25,9,60,15%,3.72
2024-10-24,5,49,10.2%,5.18
2024-10-23,10,72,13.89%,3.74
2024-10-22,9,56,16.07%,4.3
2024-10-21,7,65,10.77%,3.4
2024-10-20,14,76,18.42%,3.09
2024-10-19,5,52,9.62%,5.79
2024-10-18,6,64,9.38%,5.59
2024-10-17,8,83,9.64%,3.94
2024-10-16,6,54,11.11%,5.57
2024-10-15,6,57,10.53%,3.7
2024-10-14,12,73,16.44%,3.67
2024-10-13,6,37,16.22%,3.81
2024-10-12,6,37,16.22%,4.24
2024-10-11,7,53,13.21%,4.58
2024-10-10,13,75,17.33%,3.36
2024-10-09,15,102,14.71%,2.72
2024-10-08,10,69,14.49%,3.19
2024-10-07,3,33,9.09%,4.67
2024-10-06,3,31,9.68%,4.55
2024-10-05,8,37,21.62%,3.73
2024-10-04,4,49,8.16%,4.39
2024-10-03,6,33,18.18%,5.15
2024-10-02,10,58,17.24%,6.47
2024-10-01,7,51,13.73%,5.45
2024-09-30,6,62,9.68%,5.45
2024-09-29,8,62,12.9%,7.92
2024-09-28,4,31,12.9%,5.71
2024-09-27,3,53,5.66%,6.34
2024-09-26,11,70,15.71%,4.37
2024-09-25,8,59,13.56%,4.2
2024-09-24,11,50,22%,5.98
2024-09-23,15,59,25.42%,4.8
2024-09-22,10,60,16.67%,5.03
2024-09-21,13,64,20.31%,6.7
2024-09-20,6,62,9.68%,6.6
2024-09-19,5,54,9.26%,5.85
2024-09-18,14,55,25.45%,5.6
2024-09-17,9,38,23.68%,7.47
2024-09-16,6,44,13.64%,8.32