Country,Clicks,Impressions,CTR,Position
United States,3605,24027,15%,4.03
United Kingdom,49,383,12.79%,10.57
Canada,33,239,13.81%,6.26
Australia,27,165,16.36%,4.87
Germany,17,119,14.29%,5.86
Spain,16,588,2.72%,3.72
South Africa,15,137,10.95%,4.5
France,13,301,4.32%,3.28
India,12,262,4.58%,18.06
Philippines,11,141,7.8%,5.7
Kenya,10,86,11.63%,5.55
Austria,10,32,31.25%,2.19
Ghana,10,28,35.71%,3.86
Italy,9,51,17.65%,8.14
Malaysia,7,55,12.73%,6.22
Thailand,7,28,25%,8.79
Switzerland,6,28,21.43%,3.68
Argentina,5,42,11.9%,6.74
Singapore,5,26,19.23%,8.88
Poland,5,21,23.81%,3.38
Brazil,4,263,1.52%,15.79
Indonesia,4,99,4.04%,12.04
Mexico,4,95,4.21%,4.55
Netherlands,4,57,7.02%,10.11
Sweden,4,13,30.77%,5.77
Bosnia & Herzegovina,4,9,44.44%,9.89
Nigeria,3,60,5%,6.45
Belgium,3,25,12%,3.76
Romania,3,25,12%,6.48
Saudi Arabia,3,25,12%,11.52
New Zealand,3,16,18.75%,7.94
Kuwait,3,6,50%,2.5
Sri Lanka,3,6,50%,3.17
Turkey,2,49,4.08%,11.84
Japan,2,38,5.26%,6.68
Bangladesh,2,38,5.26%,17.92
Ireland,2,25,8%,8.24
Colombia,2,22,9.09%,14.32
Puerto Rico,2,15,13.33%,3.67
Ethiopia,2,14,14.29%,9.43
Dominican Republic,2,13,15.38%,2.77
Portugal,2,12,16.67%,3.33
Papua New Guinea,2,9,22.22%,3.11
Slovakia,2,7,28.57%,3.29
Denmark,2,7,28.57%,14.86
Uganda,2,6,33.33%,2.17
Costa Rica,2,6,33.33%,5.17
Armenia,2,3,66.67%,4
Russia,1,78,1.28%,10.6
Pakistan,1,49,2.04%,11.22
Jamaica,1,18,5.56%,7.78
United Arab Emirates,1,17,5.88%,12.35
Trinidad & Tobago,1,13,7.69%,7.54
Egypt,1,13,7.69%,13.85
Jordan,1,11,9.09%,8.27
Tanzania,1,10,10%,6.8
China,1,10,10%,8.6
Panama,1,10,10%,12.2
Greece,1,9,11.11%,2.11
Finland,1,8,12.5%,2.88
Belarus,1,8,12.5%,26.62
Guatemala,1,7,14.29%,10.29
Croatia,1,6,16.67%,4.67
Bulgaria,1,6,16.67%,10.83
Georgia,1,6,16.67%,23.33
Latvia,1,4,25%,2.75
Aruba,1,3,33.33%,1
El Salvador,1,3,33.33%,1
Cameroon,1,3,33.33%,7.33
Honduras,1,3,33.33%,19.33
South Sudan,1,2,50%,1.5
Guadeloupe,1,1,100%,1
Martinique,1,1,100%,2
Namibia,1,1,100%,2
Vietnam,0,89,0%,20.28
South Korea,0,48,0%,11.79
Ukraine,0,36,0%,9.61
Morocco,0,30,0%,10.47
Ecuador,0,25,0%,27.6
Chile,0,20,0%,7.3
Nepal,0,17,0%,3.12
Hong Kong,0,17,0%,3.94
Iraq,0,16,0%,25.81
Peru,0,15,0%,11.13
Venezuela,0,13,0%,12.15
Slovenia,0,12,0%,3.92
Norway,0,12,0%,4
Algeria,0,12,0%,6.5
Unknown Region,0,11,0%,7.82
Paraguay,0,10,0%,27
Taiwan,0,9,0%,6.11
Tunisia,0,8,0%,4.88
Bahrain,0,7,0%,1.29
Uzbekistan,0,6,0%,6.83
Hungary,0,5,0%,1.8
Lithuania,0,5,0%,2.6
Qatar,0,5,0%,2.6
Moldova,0,5,0%,6.2
Uruguay,0,5,0%,6.2
Serbia,0,5,0%,16
Mongolia,0,4,0%,2
Bahamas,0,4,0%,2.25
Iran,0,4,0%,2.25
Israel,0,4,0%,8.75
Barbados,0,4,0%,16.5
Bolivia,0,4,0%,21.5
Kazakhstan,0,3,0%,1
Somalia,0,3,0%,1
Haiti,0,3,0%,2
Palestine,0,3,0%,2.33
Senegal,0,3,0%,3.67
Macedonia,0,3,0%,4
Czechia,0,3,0%,5.67
Cambodia,0,3,0%,12.33
Oman,0,3,0%,21
Azerbaijan,0,3,0%,29.33
Cyprus,0,2,0%,1.5
Lebanon,0,2,0%,1.5
Angola,0,2,0%,2
Benin,0,2,0%,4.5
Syria,0,2,0%,5
Togo,0,2,0%,5
Bermuda,0,1,0%,1
Guyana,0,1,0%,1
U.S. Virgin Islands,0,1,0%,1
Brunei,0,1,0%,2
Fiji,0,1,0%,3
Mauritius,0,1,0%,3
Belize,0,1,0%,4
R̩union,0,1,0%,4
Estonia,0,1,0%,5
Myanmar (Burma),0,1,0%,5
Montenegro,0,1,0%,5
Grenada,0,1,0%,7
Cuba,0,1,0%,17
Luxembourg,0,1,0%,52
Mauritania,0,1,0%,52